Name,Biography
Spencer Burford,
Oren Burks,
Chris Conley,"Conley (6-3, 205) was originally drafted by the Kansas City Chiefs in the third round (76th overall) of the 2015 NFL draft. Over his eight-year NFL career with the Chiefs (2015-18), Jacksonville Jaguars (2019-20), Houston Texans (2021-22) and Tennessee Titans (2022), he has appeared in 109 games (63 starts) and registered 217 receptions for 2,853 yards and 15 touchdowns. Conley has also appeared in five postseason games (two starts) where he recorded eight receptions for 61 yards and one touchdown.Conley (6-3, 205) was originally drafted by the Kansas City Chiefs in the third round (76th overall) of the 2015 NFL draft. Over his eight-year NFL career with the Chiefs (2015-18), Jacksonville Jaguars (2019-20), Houston Texans (2021-22) and Tennessee Titans (2022), he has appeared in 109 games (63 starts) and registered 217 receptions for 2,853 yards and 15 touchdowns. Conley has also appeared in five postseason games (two starts) where he recorded eight receptions for 61 yards and one touchdown.Conley began the 2022 season with the Texans and split time between the team's practice squad and active roster. He appeared in two games before being released on October 4, 2022. Conley then signed to the Chiefs practice squad on October 6, 2022 before signing to the Titans active roster on October 25, 2022 where he went on to appear in seven games (one start) and register four receptions for 46 yards with Tennessee.A 30-year-old native of Dallas, GA, Conley attended the University of Georgia where he played four seasons (2011-14) and finished wtih 177 receptions for 1,938 yards and 20 touchdowns."
Sam Darnold,"Darnold (6-3, 225) was originally drafted by the New York Jets as the third overall pick of the 2018 NFL Draft. Throughout his five-year NFL career with the Jets (2018-20) and Carolina Panthers (2021-22), he has appeared in 56 games (55 starts) and completed 1,054 of 1,765 passing attempts (59.7%) for 11,767 yards, 61 touchdowns and a passer rating of 78.2 to go along with 188 carries for 745 yards and 12 touchdowns on the ground.Darnold (6-3, 225) was originally drafted by the New York Jets as the third overall pick of the 2018 NFL Draft. Throughout his five-year NFL career with the Jets (2018-20) and Carolina Panthers (2021-22), he has appeared in 56 games (55 starts) and completed 1,054 of 1,765 passing attempts (59.7%) for 11,767 yards, 61 touchdowns and a passer rating of 78.2 to go along with 188 carries for 745 yards and 12 touchdowns on the ground.In 2022 with the Panthers, Darnold started six games and completed 82 of 140 passing attempts (58.6%) for 1,143 yards, seven touchdowns and a passer rating of 92.6 to go along with 26 rushes for 106 yards and two touchdowns.A 25-year-old native of San Clemente, CA, Darnold attended the University of Southern California for three years (2015-17) where he appeared in 27 games (24 starts) and completed 549 of 846 passing attempts (64.9%) for 7,229 yards and 57 touchdowns. Darnold added 137 carries for 332 yards and seven touchdowns on the ground as a Trojan."
Jon Feliciano,"Feliciano (6-4, 325) was originally drafted by the Las Vegas Raiders in the fourth round (128th overall) of the 2015 NFL Draft. Throughout his eight-year NFL career with the Raiders (2015-18), Buffalo Bills (2019-21) and New York Giants (2022), he has appeared in 97 regular season games (54 starts) and nine postseason contests (six starts).Feliciano (6-4, 325) was originally drafted by the Las Vegas Raiders in the fourth round (128th overall) of the 2015 NFL Draft. Throughout his eight-year NFL career with the Raiders (2015-18), Buffalo Bills (2019-21) and New York Giants (2022), he has appeared in 97 regular season games (54 starts) and nine postseason contests (six starts).In 2022 with the Giants, Feliciano started all 15 regular season games he appeared in at center. He also started each of the team's two postseason contests.A 31-year-old native of Davie, FL, Feliciano attended the University of Miami (FL) for five years (2010-14) where he appeared in 48 games (46 starts)."
Demetrius Flannigan-Fowles,"Flannigan-Fowles describes himself as a ""momma's boy."" While growing up, he and his mom, Kurtisha, would regularly have ""date nights"" and spend time together.Began playing football at the age of 6, when his uncle, Harold, signed him up for flag football.Took part in the 49ers Annual Community Day, helping pack more than 31,000 nutritious meals in collaboration with Feeding Children Anywhere. The meals, along with groceries and backpacks, were distributed to those most in need in East San Jose.In November of 2019, the 49ers teamed up with Martha's Kitchen of San Jose to serve Thanksgiving dinner to over 300 people in need. Members of the team served food, bussed tables and refilled beverages. The team also provided toiletries and giveaways to all those in attendance."
Tashaun Gipson,
Kevin Givens,"Was presented with the Jim O'Hora Award in 2018, which is presented annually to a defensive player on the Penn State football team for ""exemplary conduct, loyalty, interest, attitude and improvement.""Members of the 49ers defensive line spent time with 25 local youth from the Fam 1st Foundation at Shoe Palace for a special holiday shopping experience on December 16, 2019. The Fam 1st Foundation is based in Oakland and focuses on underserved youth, aiming to build new generations of innovative thinkers to create solutions for the future of Oakland and beyond.Givens participated in the 49ers Annual Community Day, helping pack more than 31,000 nutritious meals in collaboration with Feeding Children Anywhere. The meals, along with groceries and backpacks, were distributed to those most in need in East San Jose."
Jalen Graham,"Graham (6-3, 220) was the first of three seventh-round draft picks (255th overall) selected by the 49ers in this year's NFL Draft. He appeared in 38 games (35 starts) in four years (2019-22) at Purdue and registered 169 tackles, 16 PDs, 12.5 TFLs, 3 INTs, 3 FFs, 2 FRs and 2.0 sacks. In 2022 as a senior, started 9 games and notched 52 tackles, 6 PDs, 5.0 TFLs, 1.0 sacks, 1 INT and 1 FF, earning All-Big Ten honorable mention honors. In 2021 as a junior, started all 13 games and tallied 64 tackles, 9 PDs, 4.0 TFLs, 2 INTs, 1 FF and 1.0 sacks, earning All-Big Ten honorable mention honors. As a sophomore in 2020, started 5 games and registered 16 tackles, 2 FR and 1 FF. As a freshman in 2019, appeared in 11 games (8 starts) and registered 37 tackles, 2.5 TFLs and 1 PD.Graham (6-3, 220) was the first of three seventh-round draft picks (255th overall) selected by the 49ers in this year's NFL Draft. He appeared in 38 games (35 starts) in four years (2019-22) at Purdue and registered 169 tackles, 16 PDs, 12.5 TFLs, 3 INTs, 3 FFs, 2 FRs and 2.0 sacks. In 2022 as a senior, started 9 games and notched 52 tackles, 6 PDs, 5.0 TFLs, 1.0 sacks, 1 INT and 1 FF, earning All-Big Ten honorable mention honors. In 2021 as a junior, started all 13 games and tallied 64 tackles, 9 PDs, 4.0 TFLs, 2 INTs, 1 FF and 1.0 sacks, earning All-Big Ten honorable mention honors. As a sophomore in 2020, started 5 games and registered 16 tackles, 2 FR and 1 FF. As a freshman in 2019, appeared in 11 games (8 starts) and registered 37 tackles, 2.5 TFLs and 1 PD.A 22-year-old native of Detroit, MI, Graham attended Cass Technical (Detroit, MI) High School."
Dre Greenlaw,"In 2019, named the recipient of the 49ers Thomas Herrion Memorial Award, which was established in 2005 by 49ers owners Denise and John York and is presented to a rookie or first-year player who best represents the dream of Thomas Herrion. The recipient has taken advantage of every opportunity, turned it into a positive situation and made their dream turn into a reality. The award is voted on by the coaches.During the 2019 offseason, Greenlaw spoke to a crowd of nearly 30 Santa Clara foster youth who were honored at Levi's Stadium for graduating from High School, obtaining a GED, earning a Vocational Program Certificate, Associate Degree, Bachelor and/or a Master Degree in the 2018-2019 academic year. A former foster child, Greenlaw addressed the crowd saying, ""I can survive anything. Once you get that mindset, which I know you guys have. it's just the beginning.""Was named team captain in 2018 at Arkansas after week four of the season.Participated in track & field at Fayetteville (AR) HS, in addition to football.2019: PFWA All-Rookie Team, Thomas Herrion Memorial AwardSince he was eight years old, Greenlaw had been living in group homes and shelters across Arkansas. Six years later, he met Brian Early, who was the defensive coach at Fayetteville High, while Greenlaw was getting treatment for an injury he suffered in football practice. After learning about Dre's situation, Brian and his wife, Nanci, began spending more time with him, and soon he became like a son. When they were informed that his group home was going to be shut down, they invited Dre to live with them and their two daughters, AJ and Camryn. The family later made his adoption official shortly after Greenlaw turned 21. ""Even though it wasn't legal until July, he's always been my son,"" said Brian. ""He's felt the same way. We're Mom and Dad to him. It's a pretty special relationship.""NFL players had the opportunity to participate in the NFL's annual My Cause, My Cleats campaign during Week 14 of the 2019 season. Greenlaw and his teammates represented their respective causes with custom-designed cleats in an effort to raise awareness and funding. Greenlaw represented the Bill Wilson Center and said, ""I play for foster youth like me.""The 49ers LBs welcomed eight foster youth from Unity Care to Levi's Stadium in December of 2019. This group received gifts and much needed resources, like bedding and new shoes, this holiday season. The linebackers chose to support foster youth to honor Greenlaw, who is a former foster youth.Took part in the 49ers Annual Community Day, helping pack more than 31,000 nutritious meals in collaboration with Feeding Children Anywhere. The meals, along with groceries and backpacks, were distributed to those most in need in East San Jose.Prior to Week 2's matchup in Cincinnati during the 2019 season, the 49ers spent time in Youngstown, OH, where they participated in the Community Blitz. Greenlaw and some of his teammates joined the students at Williamson Elementary School to talk about inclusion and anti-bullying. The players spoke at an assembly before helping the kids write compliment cards and discuss how to be kind to one another.During the 2019 offseason, members of the 49ers took part in the Second Annual Picnic on the Field, located on the Levi's Stadium field. Greenlaw and his teammates spent the day taking pictures with fans, who enjoyed music, food and games in support of the 49ers Foundation. The foundation, in conjunction with NFL Huddle for 100, partnered with Amazon to fill 1,000 backpacks full of school supplies. Fans and players joined together to assemble the packs, which were distributed throughout the community to children in need."
Randy Gregory,"Gregory (6-5, 242) was originally drafted by the Dallas Cowboys in the second round (60th overall) of the 2015 NFL Draft. Throughout his nine years in the NFL with the Cowboys (2015-21) and Broncos (2022-23), he has appeared in 60 games (18 starts) and registered 106 tackles, 19.5 sacks, 23 tackles for loss, 10 forced fumbles, three passes defensed, two fumble recoveries and one interception. He has also appeared in three postseason contests (one start) and added seven tackles and one tackle for loss. This season with Denver, Gregory has appeared in four games (three starts) and recorded nine tackles, 1.0 sack, two tackles for loss and one pass defensed.Gregory (6-5, 242) was originally drafted by the Dallas Cowboys in the second round (60th overall) of the 2015 NFL Draft. Throughout his nine years in the NFL with the Cowboys (2015-21) and Broncos (2022-23), he has appeared in 60 games (18 starts) and registered 106 tackles, 19.5 sacks, 23 tackles for loss, 10 forced fumbles, three passes defensed, two fumble recoveries and one interception. He has also appeared in three postseason contests (one start) and added seven tackles and one tackle for loss. This season with Denver, Gregory has appeared in four games (three starts) and recorded nine tackles, 1.0 sack, two tackles for loss and one pass defensed.A 30-year-old native of Jacksonville, FL, Gregory attended the University of Nebraska for two seasons (2013-14) after transferring to the school from Arizona Western Community College (2011-12). He appeared in 24 games at Nebraska and registered 119 tackles, 17.5 sacks, 26.5 tackles for loss, four passes defensed, two interceptions, one fumble recovery and two forced fumbles."
